date,daa
2022-02-18,569.0
2022-02-17,503.0
2022-02-16,444.0
2022-02-15,517.0
2022-02-14,552.0
2022-02-13,707.0
2022-02-12,715.0
2022-02-11,780.0
2022-02-10,785.0
2022-02-09,798.0
2022-02-08,1157.0
2022-02-07,999.0
2022-02-06,580.0
2022-02-05,578.0
2022-02-04,572.0
2022-02-03,1062.0
2022-02-02,551.0
2022-02-01,549.0
2022-01-31,525.0
2022-01-30,873.0
2022-01-29,683.0
2022-01-28,713.0
2022-01-27,799.0
2022-01-26,901.0
2022-01-25,871.0
2022-01-24,733.0
2022-01-23,717.0
2022-01-22,1016.0
2022-01-21,1013.0
2022-01-20,857.0
2022-01-19,991.0
2022-01-18,938.0
2022-01-17,924.0
2022-01-16,767.0
2022-01-15,653.0
2022-01-14,620.0
2022-01-13,634.0
2022-01-12,736.0
2022-01-11,791.0
2022-01-10,856.0
2022-01-09,833.0
2022-01-08,947.0
2022-01-07,1129.0
2022-01-06,1462.0
2022-01-05,3574.0
2022-01-04,952.0
2022-01-03,1303.0
2022-01-02,775.0
2022-01-01,626.0
2021-12-31,923.0
2021-12-30,997.0
2021-12-29,1170.0
2021-12-28,1581.0
2021-12-27,1247.0
2021-12-26,1254.0
2021-12-25,1287.0
2021-12-24,1670.0
2021-12-23,2356.0
2021-12-22,2602.0
2021-12-21,1724.0
2021-12-20,944.0
2021-12-19,773.0
2021-12-18,588.0
2021-12-17,571.0
2021-12-16,443.0
2021-12-15,509.0
2021-12-14,647.0
2021-12-13,770.0
2021-12-12,892.0
2021-12-11,756.0
2021-12-10,650.0
2021-12-09,466.0
2021-12-08,591.0
2021-12-07,558.0
2021-12-06,542.0
2021-12-05,391.0
2021-12-04,494.0
2021-12-03,431.0
2021-12-02,430.0
2021-12-01,502.0
2021-11-30,526.0
2021-11-29,440.0
2021-11-28,477.0
2021-11-27,581.0
2021-11-26,778.0
2021-11-25,1092.0
2021-11-24,913.0
2021-11-23,686.0
2021-11-22,416.0
2021-11-21,416.0
2021-11-20,536.0
2021-11-19,441.0
2021-11-18,433.0
2021-11-17,483.0
2021-11-16,633.0
2021-11-15,484.0
2021-11-14,572.0
2021-11-13,534.0
2021-11-12,550.0
2021-11-11,657.0
2021-11-10,1001.0
2021-11-09,710.0
2021-11-08,626.0
2021-11-07,345.0
2021-11-06,324.0
2021-11-05,386.0
2021-11-04,363.0
2021-11-03,434.0
2021-11-02,664.0
2021-11-01,488.0
2021-10-31,214.0
2021-10-30,217.0
2021-10-29,238.0
2021-10-28,250.0
2021-10-27,145.0
2021-10-26,160.0
2021-10-25,131.0
2021-10-24,128.0
2021-10-23,162.0
2021-10-22,140.0
2021-10-21,143.0
2021-10-20,154.0
2021-10-19,243.0
2021-10-18,76.0
2021-10-17,170.0
2021-10-16,168.0
2021-10-15,182.0
2021-10-14,150.0
2021-10-13,169.0
2021-10-12,157.0
2021-10-11,127.0
2021-10-10,134.0
2021-10-09,149.0
2021-10-08,147.0
2021-10-07,127.0
2021-10-06,136.0
2021-10-05,128.0
2021-10-04,119.0
2021-10-03,145.0
2021-10-02,133.0
2021-10-01,133.0
2021-09-30,132.0
2021-09-29,115.0
2021-09-28,92.0
2021-09-27,20.0
2021-09-26,111.0
2021-09-25,181.0
2021-09-24,140.0
2021-09-23,150.0
2021-09-22,132.0
2021-09-21,159.0
2021-09-20,152.0
2021-09-19,122.0
2021-09-18,151.0
2021-09-17,148.0
